id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
228,5277.825707701892,8678.661157158473,"162.3434835268472,-39.28283259178121",8669535.509402018,19.125932701830315,94941129.93188567
229,5133.852288230311,8586.630878971751,"162.15810938862174,-39.37491713934815",3402028.762414804,7.5052432842650205,37256027.66309156
230,4989.90925918855,8494.620051477954,"161.97224619335944,-39.466706863262935",3570109.737931435,7.876048089517015,39096702.71636246
231,4844.559918003797,8404.878955551165,"161.7840426890341,-39.55595287456144",4637512.2871639365,10.230853522892659,50785956.88763916
232,4698.421951737193,8311.465136345778,"161.59427813595937,-39.64856680635721",2878897.2935542176,6.351158701903428,31527151.79624861
233,4514.09662199171,8193.641355318427,"161.35415779712704,-39.764960871587206",3888928.7037682543,8.579397199518265,42588127.69840867
234,4370.255661442092,8101.695876694161,"161.16618326844716,-39.85546015851315",3254409.735739115,7.179579750544324,35639433.88170203
235,4224.184492505231,8008.324837820426,"160.97476428241782,-39.947062166249246",3063771.530023839,6.759011256539787,33551731.877463497
236,4080.375190705412,7916.399645565918,"160.78578963091104,-40.036946469608594",3165709.4619070995,6.9838973560140465,34668066.47525372
237,3936.577797530553,7824.482090092671,"160.59631703702325,-40.126522949865695",4453053.972692356,9.823918537154324,48765931.61843407
238,3790.543186246159,7731.13449479283,"160.40337311140016,-40.217182115477286",3882871.5501138587,8.566034463644701,42521795.07753229
239,3646.7620406170217,7639.227374585371,"160.21289327299152,-40.30613270104219",2861893.450581534,6.3136463858150575,31340940.65918594
240,3500.7386713210763,7545.8870156927405,"160.0189239891055,-40.39615248276236",3081899.6625405117,6.799003876922705,33750255.245044306
241,3316.5266627983033,7428.135933892143,"159.77348464043163,-40.50925204394492",3086097.594688337,6.808264969129904,33796227.30676084
242,3170.503344305842,7334.795664854315,"159.57834138057035,-40.59853409397346",4329947.441581257,9.55233221899077,47417777.135070175
243,3026.722292601886,7242.888710765084,"159.38569130380688,-40.68612084551369",3596365.8815553756,7.933971981219919,39384236.91477568
244,2880.6878213115256,7149.541363050663,"159.18951315518066,-40.774747429212155",7385060.835018653,16.292242690085253,80874692.71358319
245,2736.8906099095034,7057.624129030106,"158.99584200367187,-40.86168508055253",2624447.05020444,5.789813953387846,28740636.464617267
246,2593.081533497215,6965.699335326103,"158.80166274469605,-40.9482979294677",3273690.1136989817,7.222114348958085,35850575.628227934
247,2447.010638140727,6872.328780174535,"158.60392830437442,-41.03592977103326",3027324.0196524053,6.678604107880287,33152590.791517742
248,2303.169990980092,6780.383855595162,"158.40872207314567,-41.12188226842881",2762905.1217553215,6.095267429601823,30256907.52054345
249,2118.845126657855,6662.560897270887,"158.1578670606039,-41.231525879230475",2759713.3201670437,6.088225970193901,30221953.71604253
250,1972.7075803764224,6569.147820321801,"157.95842130641364,-41.31805055581586",5253490.716866364,11.589768539676566,57531611.03095448
251,1830.2345244286066,6474.908534263839,"157.76329041950555,-41.40521612111373",2788844.8897233154,6.152493362400518,30540977.050956175
252,1686.2919969727677,6382.898592876888,"157.56587724405824,-41.48973860327418",3052782.0367090786,6.734767246080706,33431384.609544616
253,1542.3191230330212,6290.869278235335,"157.3679495748597,-41.57392252466207",2627261.6821827185,5.796023335855751,28771459.839187942
254,1397.5053773464515,6195.134121644547,"157.1681498205571,-41.66139097049765",2723361.7271792972,6.0080304256536,29823863.032944467
255,1253.4633990059183,6103.060684912596,"156.9691769285145,-41.744889746550115",3011379.4595319144,6.643428684295705,32977979.988843873
256,1109.3833540055448,6010.962940116709,"156.76968717721883,-41.82804423380423",2788799.3296086565,6.152392851861528,30540478.116640624
257,7028.701607092072,9528.575670549562,"164.5654662588154,-38.40950163769148",2968504.764865957,6.548842472162042,32508454.031812377
258,6882.803074348674,9438.482029644205,"164.3833989627333,-38.50288408521383",4797462.582162457,10.583721167815726,52537591.877037264
259,6738.393454623019,9346.172734778695,"164.20275684925747,-38.59818725846331",3418336.240510859,7.541219344143139,37434612.82432654
260,6594.040855814503,9253.89991325122,"164.02163512991612,-38.69321197272627",4137675.779083398,9.128160142711137,45312186.94841808
261,6449.743027629026,9161.662126618208,"163.84003273285933,-38.78795631754267",3417081.1667993846,7.538450515834463,37420868.36060228
262,6305.496715805081,9069.457294683209,"163.65794733084434,-38.8824190368548",3936275.82728716,8.68385007326978,43106631.763711184
263,6159.868235342581,8979.536172149894,"163.4734908004781,-38.97438099640356",3982606.713297989,8.786061017200778,43614006.88938466
264,6015.717745441605,8887.39263954757,"163.29043900282508,-39.06827149806476",3438380.543857399,7.585439244557092,37654120.4099814
265,5831.907784348362,8773.065549132858,"163.05618530601643,-39.18446527005849",2785538.062187026,6.145198143314439,30504763.58341288
266,5685.60268812346,8679.544809995616,"162.86915013876703,-39.279154389829685",2922257.83803174,6.44681675125249,32001998.353217363
267,5541.5868944681415,8587.487457199386,"162.68449841146642,-39.37209367686332",4940148.112968667,10.898500876228589,54100158.3495987
268,5397.606977689862,8495.453062002403,"162.49935547438284,-39.46474021850904",3011751.978177921,6.644250500706281,32982059.485505976
269,5251.4112523194435,8402.002309580765,"162.31081521545227,-39.55853305819767",3242779.729799056,7.153922699980285,35512072.28270214
270,5107.495367481982,8310.008894025736,"162.12467738422902,-39.65058454260925",3680787.3484891867,8.120214865099316,40308746.590353005
271,4963.607647346067,8218.0335062938,"161.93804426139795,-39.742337992548705",3384426.951116236,7.466411785396178,37063268.102706626
272,4817.497588460976,8124.637588283547,"161.74798629599888,-39.83521840313497",3286698.967522861,7.250813287037713,35993037.1568552
273,4631.772534022437,8009.086604536191,"161.50563525387696,-39.94969511032978",3903866.462800169,8.612351511044036,42751712.900822595
274,4487.9587241438685,7917.158541395465,"161.3173628862726,-40.040450636230744",4301639.3227666225,9.489881448153401,47107771.50863347
275,4344.161869054713,7825.241340498308,"161.12858942445953,-40.130900660560194",6501316.687108848,14.342607547553245,71196703.86605431
276,4198.132969866472,7731.89740711983,"160.93635226329957,-40.22244938912379",3303068.1998052895,7.286925583327962,36172298.59564
277,4054.3627192684958,7639.997261554732,"160.74656525380203,-40.31227806506844",6866712.726290574,15.148710717362752,75198200.0009887
278,3908.3556728927306,7546.667346926573,"160.5532963206797,-40.40319195895916",4895983.1353121335,10.80106816030965,53616502.3477771
