id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,7044.343996982567,9521.634471075116,"226.2863090748894,-20.065714860472482",9632247.175583145,21.249778727800074,105483901.60479957
2,6875.2465803900395,9494.732869536072,"226.10747641708085,-20.094532274759338",14036645.71356564,30.966358115258327,153717001.68414235
3,6706.194199139175,9467.838446209831,"225.92857838162698,-20.123169472481795",12924726.97424941,28.51334515337554,141540245.3413562
4,6536.770263858847,9443.59532945542,"225.7491430677209,-20.149002479375117",13927207.43383262,30.72492543747439,152518529.8716229
5,6367.797971554404,9416.713673989163,"225.57011759927218,-20.177277512855586",13593823.287173687,29.989443963762117,148867599.83611515
6,6196.2220934062425,9389.417830194208,"225.388228582856,-20.205808893226124",12421827.710236251,27.403895002455158,136032934.7921874
7,6027.31874280205,9362.54716994329,"225.20907279114803,-20.233718404928585",12644135.33842063,27.894329666589915,138467452.46495232
8,5858.445369855365,9335.68129237069,"225.02985310437685,-20.261446013320093",13851202.736963835,30.557250858397012,151686193.26108277
9,5641.698759678712,9303.90975279075,"224.79967813639217,-20.294078248230758",14086432.227482297,31.076192547979204,154262219.8081688
10,5472.881452526664,9277.052825045428,"224.6203161795591,-20.321389094540347",12754277.716014855,28.137315660384182,139673634.93814707
11,5304.084106131033,9250.199086393664,"224.44089113247836,-20.348516999090535",12921788.08924681,28.506861655301485,141508061.25691655
12,5132.666660954983,9222.928533696791,"224.2585983178998,-20.375881184892293",13144718.023941522,28.998669194883107,143949393.88339972
13,4963.900463529965,9196.079777826168,"224.0790470544933,-20.402639345807597",12754120.779449329,28.136969441352328,139671916.30687296
14,4795.145264177602,9169.232785183094,"223.8994337016064,-20.429213567089416",12761302.787925452,28.15281372858425,139750567.3486922
15,4623.761329109894,9141.96760509267,"223.71695053959337,-20.456014422294068",12830202.858198542,28.30481473322462,140505100.33572707
16,4455.019085899611,9115.122700954245,"223.53721286967087,-20.482216926969155",12833440.042686671,28.31195631221651,140540551.13384277
17,4238.82051256384,9080.728073257394,"223.30683462735058,-20.51551861821322",13281768.370301567,29.30101707711994,145450248.7708234
18,4070.078341568395,9053.883211543009,"223.12695790188832,-20.541298842204252",13275357.097819436,29.286873116824335,145380038.151916
19,3898.6945446548893,9026.618112612181,"222.94420873457517,-20.567291882129215",12884358.414791344,28.424287746479,141098164.37352175
20,3729.9395451590194,8999.77123737177,"222.76421062409557,-20.59269761826806",15883612.505190492,35.04096655544786,173943357.98124313
21,3561.1736109436715,8972.92263611194,"222.58415272863985,-20.617917099789832",13158095.990732197,29.02818243607674,144095897.61268494
22,3389.7564979629224,8945.65227853588,"222.4012206448002,-20.643339665100196",13129106.52633826,28.964228543222937,143778430.48855865
23,3220.95954256031,8918.79876952275,"222.22104339105618,-20.668182770031326",13332544.766747074,29.41303529772761,146006307.21791986
24,3052.142689853802,8891.942108658686,"222.04080744255748,-20.692838682006055",12951605.526465558,28.572642145728956,141834595.61139852
25,2836.2378565676286,8854.88394692847,"221.81020108459802,-20.72678960645334",17997188.573315028,39.70374388594146,197089384.6498134
26,2667.3650829976386,8828.01842122554,"221.6298295475915,-20.75101753398241",16762164.20395972,36.97914659375743,183564483.69141185
27,2498.462395397565,8801.148150144258,"221.4494002545168,-20.775057278088163",13287051.320858652,29.3126718372524,145508103.0001209
28,2326.887255806758,8773.852739801405,"221.26609338541255,-20.79927966883896",13860111.775875537,30.576905161499916,151783757.2216856
29,2157.9157549627985,8746.971548758773,"221.08554940508486,-20.822939117134947",13004577.334939912,28.689503682644744,142414696.2806485
30,1989.3337711365562,8717.441950618577,"220.90533926295072,-20.84904482371371",12660916.209575292,27.93135008273956,138651221.81071916
31,1820.2823091261912,8690.548066446054,"220.72467958342352,-20.87232584081168",12882685.112510253,28.420596260726015,141079839.8382439
32,1651.1858758020912,8663.647041496026,"220.54396396677575,-20.895417171898977",9911067.423302557,21.864886340890287,108537295.7961794
