id,xcenter,ycenter,sky_center,aperture_sum
1,3823.8800798375405,-691.6121151616017,"267.4531848600075,58.85330859227824",nan
2,3985.2196490914844,-619.4719208643919,"267.15371542363556,58.782622759569605",nan
3,4146.53017407957,-547.2788630569885,"266.85546904018463,58.71124610527988",nan
4,4308.71041022483,-477.9432379404161,"266.5562759643656,58.6415917289449",nan
5,4469.96502042666,-405.6470456109446,"266.26046872081514,58.568842811155676",nan
6,4633.711055131528,-332.1694496110058,"265.96130071724644,58.494264594993034",nan
7,4794.91071429315,-259.77206669106545,"265.6679795844946,58.4201565745059",nan
8,4956.083483225585,-187.32581740646037,"265.37589607794877,58.345381582622174",nan
9,5163.448353467395,-97.34498918533245,"265.00122066933346,58.25099168721933",189823.25102167722
10,5324.562351745878,-24.790254067449496,"264.71195250818243,58.17470777885368",1100696.855195634
11,5485.651057779385,47.810819872926004,"264.4239280494104,58.09777238422634",2105940.4583070045
12,5649.2313300906235,121.59288595702128,"264.13267765492736,58.01897292722245",3137986.903453796
13,5810.270379486657,194.284914785585,"263.84716405163874,57.94073880701085",4691248.09216819
14,5971.285403411675,267.0208325892354,"263.56289778455,57.86186752494318",3792054.3009455935
15,6134.792259223381,340.9373943857081,"263.2754671494843,57.78111651412096",4581038.4144913815
16,6295.760313225663,413.75938389814655,"262.99371688531534,57.70097524898892",3576368.9721514173
17,6501.96758080226,507.1230668854032,"262.6345495396589,57.59738449205055",5456638.398280698
18,6662.88457834281,580.0384976602991,"262.3556484954934,57.5158289777491",10385116.399145657
19,6826.293764424989,654.1338110002825,"262.07366792393816,57.43237249251083",9790980.32918032
20,6987.1675122870365,727.1282888062797,"261.7972840124634,57.34958771129025",4549693.409433673
21,7148.020528654491,800.1607939053756,"261.5221481620747,57.26620006109702",4045587.6459620344
22,7311.366053018468,874.372499073902,"261.243990180595,57.180897214198694",4178391.3935647076
23,7472.1785231303065,947.4791513228038,"260.97136790169327,57.09630856192545",8258646.475114509
24,7632.971540293391,1020.6213692006277,"260.69999121213567,57.01113103346941",5249951.119146431
25,7838.054222378732,1117.296955547928,"260.35657408267707,56.898848184912936",8509936.354754902
26,7998.804231947011,1190.5170123924318,"260.0880448550009,56.812350025156206",18135815.254236553
27,8159.536435678972,1263.7700350437917,"259.8207561360179,56.725277952337244",17754108.503966358
28,8322.761970954734,1338.20039036883,"259.55055955298803,56.63626280466751",20745015.723463967
29,8483.459061610414,1411.517137632643,"259.2857667740919,56.548048043439735",11769339.364772156
30,8643.233246383297,1487.7744722939933,"259.02472490768577,56.45700487527082",2729378.667094413
31,8803.897343884326,1561.1509233126126,"258.7624096396692,56.367679901381784",1043339.5078587668
32,8964.545865534927,1634.556243716977,"258.50132449967964,56.277803650034194",232084.52961850306
33,3764.001637039466,-506.5840313803037,"267.59311007092657,58.699301914419216",nan
34,3927.8272910297355,-433.2887762948649,"267.29004348553303,58.62781470783265",nan
35,4089.1041740318688,-361.0695741119316,"266.9928552139165,58.556734098608324",nan
36,4251.251425831037,-291.7100624821587,"266.6947220179206,58.48738089984993",nan
37,4412.474238772652,-219.39109268911488,"266.399939504989,58.41493388139666",nan
38,4573.670405778403,-147.0232383903358,"266.1063725652662,58.34181301402236",nan
39,4737.358666272681,-73.47532203397077,"265.8094651625601,58.266864641240474",1003665.4240293035
40,4898.502441421145,-1.0113750656628326,"265.51835618591804,58.19239983970874",3032112.138435324
41,5105.831179122007,88.9890977301011,"265.14492417065463,58.09841365071356",3061731.1593282493
