id,xcenter,ycenter,sky_center,aperture_sum
1,10514.774614894675,6826.622354226969,"267.4531848600075,58.85330859227824",nan
2,10371.629589372375,6930.276422687918,"267.15371542363556,58.782622759569605",nan
3,10228.45330484024,7033.878906321703,"266.85546904018463,58.71124610527988",nan
4,10087.316774029385,7139.663298256972,"266.5562759643656,58.6415917289449",0.0
5,9944.079129774262,7243.165791004378,"266.26046872081514,58.568842811155676",0.0
6,9798.572647676872,7348.235218827793,"265.96130071724644,58.494264594993034",0.0
7,9655.274845319884,7451.63952728318,"265.6679795844946,58.4201565745059",0.0
8,9511.948168564297,7554.996114934645,"265.37589607794877,58.345381582622174",952821.6002642004
9,9330.340050350333,7689.588946305952,"265.00122066933346,58.25099168721933",3919229.9817129765
10,9186.948807434153,7792.840394161461,"264.71195250818243,58.17470777885368",3605667.3503619093
11,9043.530080043001,7896.046768879053,"264.4239280494104,58.09777238422634",4684314.232886855
12,8897.842800314853,8000.8204072165145,"264.13267765492736,58.01897292722245",3761953.89721244
13,8754.37013199867,8103.938300580494,"263.84716405163874,57.94073880701085",5003090.375792053
14,8610.871467450623,8207.013442788693,"263.56289778455,57.86186752494318",6427076.3983201515
15,8465.104419268622,8311.656252716313,"263.2754671494843,57.78111651412096",4250999.924643114
16,8321.554699395585,8414.647681923816,"262.99371688531534,57.70097524898892",5019814.140279351
17,8137.595744349444,8546.546572596497,"262.6345495396589,57.59738449205055",9392003.61178517
18,7993.9906302002255,8649.447064979882,"262.3556484954934,57.5158289777491",6951650.064028806
19,7848.117613505343,8753.915914668796,"262.07366792393816,57.43237249251083",4734940.556908924
20,7704.465667458346,8856.739428216344,"261.7972840124634,57.34958771129025",4115206.177348237
21,7560.791154556785,8959.525974116365,"261.5221481620747,57.26620006109702",34255000.35992521
22,7414.849170440691,9063.881495225796,"261.243990180595,57.180897214198694",22781937.39802384
23,7271.130717351588,9166.595853463525,"260.97136790169327,57.09630856192545",3877168.9743206855
24,7127.391189998714,9269.275582138991,"260.69999121213567,57.01113103346941",3880530.8774426295
25,6941.126335253525,9398.544601527494,"260.35657408267707,56.898848184912936",4397772.80503284
26,6797.340901175505,9501.148165049963,"260.0880448550009,56.812350025156206",4719712.356709378
27,6653.53582078945,9603.719825362417,"259.8207561360179,56.725277952337244",7148823.037558576
28,6507.464474627383,9707.862107795021,"259.55055955298803,56.63626280466751",5216183.464634488
29,6363.621763646239,9810.371496985183,"259.2857667740919,56.548048043439735",2186020.188568485
30,6217.6938822181755,9910.611332536773,"259.02472490768577,56.45700487527082",912007.9775869332
31,6073.815962845992,10013.062296939457,"258.7624096396692,56.367679901381784",116961.51871697116
32,5929.920829777576,10115.485337567108,"258.50132449967964,56.277803650034194",0.0
33,10384.474815325553,6682.252059734134,"267.59311007092657,58.699301914419216",nan
34,10239.086435449568,6787.481610338587,"267.29004348553303,58.62781470783265",nan
