id,xcenter,ycenter,sky_center,aperture_sum
1,10211.418283158182,5583.941089414835,"258.71694945608044,56.51796270038886",nan
2,10071.315411892498,5727.404131950223,"258.7449049843085,56.34826101083725",508367.3293874112
3,9931.193040454931,5870.885817600787,"258.77261274969237,56.178553248637485",6854180.698838648
4,9792.965604457746,6016.23705952609,"258.795336712242,56.00860034624876",5523347.0169236865
5,9652.807757755312,6159.752682850539,"258.82258021019044,55.83888134330258",3898332.095957699
6,9510.443730102921,6305.5262636353345,"258.85000695819446,55.6665042930851",5100956.552245257
7,9370.255166524046,6449.071309991106,"258.8767766532617,55.49677308887971",5064846.412230827
8,9230.053544651459,6592.628856676642,"258.90331649649147,55.32703625982787",5308298.615502462
9,9052.316298179298,6778.430395700631,"258.93235459586225,55.109318785171304",3395194.69955793
10,8912.089238799828,6922.0123299817,"258.9584019359982,54.93956986672889",4388416.705991322
11,8771.853173441501,7065.6029112574215,"258.98423020624386,54.769815393242006",6017385.761454759
12,8629.418027328195,7211.444681171359,"259.01024109552145,54.59740290782215",4030179.6791025857
13,8489.167714618468,7355.048966693466,"259.0356374423459,54.42763748106974",4805820.815391776
14,8348.912311906653,7498.658161289426,"259.06082415623115,54.257866787366325",7573684.551668159
15,8206.461431028283,7644.5151152943035,"259.08619295986995,54.08543799307636",3875506.905515422
16,8066.199561623793,7788.130594915488,"259.11096625614607,53.91565677657133",5031875.242865143
17,7886.487377561341,7972.139598790714,"259.14241411957084,53.69811715623106",4648228.288896183
18,7746.224522667773,8115.756148193903,"259.1667337145887,53.528324431043956",4128951.761617364
19,7603.771756570288,8261.615148672405,"259.1912344634584,53.35587361749811",3613320.6947474224
20,7463.513626943098,8405.227303442942,"259.21516524922924,53.18607106567527",4907313.765030175
21,7323.259723403606,8548.835486969501,"259.2389072145612,53.01626367357744",5472488.994746471
22,7180.820046137338,8694.682175677124,"259.26282957958756,52.8437982103007",8918967.703323677
23,7040.578648784383,8838.2785451387,"259.2861988911909,52.67398136250382",7497233.828125675
24,6900.3453936803535,8981.867205286293,"259.30938717071257,52.504159920770135",4499124.954495137
25,6718.772091046199,9163.975299616442,"259.34317308932685,52.28678802452008",5533923.831854777
26,6578.5623086864,9307.541705934136,"259.36594084515946,52.11695558355496",12485690.524114879
27,6438.364721760734,9451.096548820384,"259.38853573554223,51.94711855981429",4810658.939382987
28,6295.990646729023,9596.881038054922,"259.4113091025737,51.77462355967305",4562741.3368092505
29,6155.822037897075,9740.40834599825,"259.433562579758,51.604778074144996",4662190.636769374
30,6013.756153472665,9882.06874619476,"259.45990374514827,51.435142267484885",2419779.521875981
31,5873.621303262994,10025.563981736208,"259.48181141032995,51.265287599364996",283754.56415534316
32,5733.5050916558375,10169.041509938192,"259.50355770506667,51.09542864159896",nan
33,10091.14673763852,5463.184821414012,"259.02391104890603,56.535721949456224",303159.2110001963
34,9948.854909114405,5608.889994808309,"259.0509678699885,56.3633023646117",3259898.6891027186
35,9808.732578137884,5752.3722934213365,"259.0773702412438,56.193529888917354",4331724.036449349
36,9670.505203768033,5897.724122364702,"259.09879646456534,56.02352417482482",3675199.724567066
37,9530.347433304501,6041.240324648174,"259.12475699734745,55.85374153545511",4994051.128493507
38,9390.173869925318,6184.771646417793,"259.15049159724555,55.68395344548693",22089839.64269778
39,9247.795049805074,6330.560066744461,"259.1764005530765,55.511506677073044",9760020.186323553
40,9107.593557831986,6474.11814078825,"259.2016899460122,55.34170784568513",5507939.298368623
41,8929.8565084573,6659.9203228878905,"259.229137820374,55.123922786791695",3608489.79105898
42,8789.629619852723,6803.50274574202,"259.2539584171227,54.95411300914365",4115165.224351998
43,8649.39374309861,6947.093798492899,"259.2785700717107,54.784298185366914",4287233.443381572
44,8506.958806793908,7092.936029751687,"259.3033555531891,54.611824920001126",3769397.644137907
45,8366.708718649403,7236.540752297018,"259.3275552609771,54.44200014646331",4082787.9169496
46,8226.453558355404,7380.150366829543,"259.35155503552556,54.27217059307753",8429500.653435566
47,8084.002941963738,7526.007729847859,"259.37572814047536,54.099682510789705",5697597.308426315
48,7943.741350983926,7669.623594978308,"259.399333634039,53.92984339532384",4388237.385296067
49,7764.029549776853,7853.633067836296,"259.42929881509275,53.712230272726295",4770731.639136019
50,7623.767014095355,7997.2499638065565,"259.4524716206952,53.5423807030737",4371404.536395919
51,7481.314590510002,8143.109298802736,"259.47581687482125,53.369872619065085",3945398.6417550477
52,7341.056816162976,8286.721765753711,"259.498618888974,53.200014126583625",4624369.122367309
53,7200.803285808162,8430.330244408593,"259.52124083612995,53.0301512327945",6826974.978972263
54,7058.364005890548,8576.177215407617,"259.5440345193755,52.85762984367333",10533880.145013422
55,6918.123017830757,8719.773845643602,"259.5663010948885,52.68775836061184",4725871.489603188
56,6777.890189943701,8863.362749530417,"259.58839503687494,52.5178827045577",4294630.217214426
57,6596.317452402505,9045.47113501521,"259.6207936297298,52.30043157205641",4375639.959779819
58,6456.108137939957,9189.037746001119,"259.6424857514431,52.13054589546751",4313460.191909998
59,6313.720526503046,9334.835760705359,"259.6643481131483,51.958001434538936",5617292.192781223
60,6173.537473628789,9478.377438952455,"259.6857102368828,51.7881077849071",5210302.234853161
