id,xcenter,ycenter,sky_center,aperture_sum
1,6232.087222961507,10097.132632372033,"258.71694945608044,56.51796270038886",0.0
2,6049.358056424881,10014.54624846264,"258.7449049843085,56.34826101083725",130615.96375744208
3,5866.604701638913,9931.947916706551,"258.77261274969237,56.178553248637485",1752801.3299961216
4,5682.742644708342,9851.769667705696,"258.795336712242,56.00860034624876",5013056.853247285
5,5499.945265685484,9769.149607473079,"258.82258021019044,55.83888134330258",5793292.615374848
6,5314.271542374383,9685.228682215879,"258.85000695819446,55.6665042930851",5125586.637431237
7,5131.436008955627,9602.589820830523,"258.8767766532617,55.49677308887971",4191662.6575918966
8,4948.584262869746,9519.942964027505,"258.90331649649147,55.32703625982787",5476198.655880093
9,4713.1982092055205,9416.472454085924,"258.93235459586225,55.109318785171304",7059311.817365927
10,4530.314846136329,9333.810034894315,"258.9584019359982,54.93956986672889",4214452.4769504545
11,4347.420277323891,9251.142110297184,"258.98423020624386,54.769815393242006",18606888.87977195
12,4161.658153245123,9167.17767760278,"259.01024109552145,54.59740290782215",8944322.980181584
13,3978.7458337723156,9084.501052002986,"259.0356374423459,54.42763748106974",3497158.2823633626
14,3795.827160395791,9001.821322367932,"259.06082415623115,54.257866787366325",7326360.03464674
15,3610.045386332209,8917.847297095868,"259.08619295986995,54.08543799307636",3934182.213688013
16,3427.118595224703,8835.163640362654,"259.11096625614607,53.91565677657133",6361102.53928605
17,3192.7415051745784,8729.224213012469,"259.14241411957084,53.69811715623106",7947135.192600792
18,3009.813371743702,8646.539996109434,"259.1667337145887,53.528324431043956",9120970.998722702
19,2824.029029841045,8562.564899246083,"259.1912344634584,53.35587361749811",3629433.7904348355
20,2641.1066421503265,8479.883619588105,"259.21516524922924,53.18607106567527",7082739.744703315
21,2458.189431615388,8397.20495290812,"259.2389072145612,53.01626367357744",3739147.914521363
22,2272.4211356369046,8313.237944649238,"259.26282957958756,52.8437982103007",3695084.7756616534
23,2089.519304059364,8230.566989292254,"259.2861988911909,52.67398136250382",4164937.574666661
24,1906.6275016804316,8147.901048405831,"259.30938717071257,52.504159920770135",4614230.680029307
25,1673.4001422619576,8039.562592312351,"259.34317308932685,52.28678802452008",4542070.097243033
26,1490.5372797941095,7956.911097332378,"259.36594084515946,52.11695558355496",4040527.9755826155
27,1307.6894544815923,7874.267107385387,"259.38853573554223,51.94711855981429",4645854.813697325
28,1122.0020441746483,7790.340471589525,"259.4113091025737,51.77462355967305",4817890.508920332
29,939.1900043365749,7707.714294638241,"259.433562579758,51.604778074144996",3476330.4192662993
30,757.48337746181,7622.666741757981,"259.45990374514827,51.435142267484885",4833367.95784764
31,574.7130219519431,7540.061318127452,"259.48181141032995,51.265287599364996",4024895.7443341385
32,391.96568067580847,7457.467352787385,"259.50355770506667,51.09542864159896",1108232.2407696855
33,6304.425705678892,9942.813272467578,"259.02391104890603,56.535721949456224",224625.04429597396
34,6118.84095784405,9858.93679549294,"259.0509678699885,56.3633023646117",2342049.299186895
35,5936.087040900272,9776.338711403307,"259.0773702412438,56.193529888917354",3924736.181951045
36,5752.224453430947,9696.160721085203,"259.09879646456534,56.02352417482482",3714500.5633991244
37,5569.426556439808,9613.540930509367,"259.12475699734745,55.85374153545511",4017918.9315652377
38,5386.609050283832,9530.91147061605,"259.15049159724555,55.68395344548693",4149178.2819165112
39,5200.91632304276,9446.981720408203,"259.1764005530765,55.511506677073044",3409703.828982288
40,5018.064125830469,9364.33516603793,"259.2016899460122,55.34170784568513",3998717.2043620707
41,4782.677535284105,9260.865061252218,"259.229137820374,55.123922786791695",3586160.912617909
42,4599.793771514867,9178.202969638347,"259.2539584171227,54.95411300914365",3988442.99926929
43,4416.898824167143,9095.535383525203,"259.2785700717107,54.784298185366914",5801302.852296329
44,4231.136338324792,9011.57130577563,"259.3033555531891,54.611824920001126",5152250.872746749
45,4048.2236849903147,8928.895040668862,"259.3275552609771,54.44200014646331",5075041.035971663
46,3865.304699914275,8846.215682458806,"259.35155503552556,54.27217059307753",3801392.013629854
47,3679.5226319635635,8762.24204561378,"259.37572814047536,54.099682510789705",3902860.6568204057
48,3496.595573822695,8679.558782366115,"259.399333634039,53.92984339532384",7568978.935232018
49,3262.2181740171823,8573.619875183855,"259.42929881509275,53.712230272726295",16741878.779597156
50,3079.2898240967424,8490.936076774968,"259.4524716206952,53.5423807030737",7305327.941938799
51,2893.505284996342,8406.961416179522,"259.47581687482125,53.369872619065085",3992169.121470492
52,2710.5827254649407,8324.280577147692,"259.498618888974,53.200014126583625",6692643.016765828
53,2527.6653652367722,8241.602362086427,"259.52124083612995,53.0301512327945",4490031.347788131
54,2341.8969398923864,8157.635823762486,"259.5440345193755,52.85762984367333",3864775.9201896004
55,2158.995003253566,8074.965342205371,"259.5663010948885,52.68775836061184",4024000.692799364
56,1976.103117951494,7992.299886135308,"259.58839503687494,52.5178827045577",4659271.764522697
57,1742.8756782103233,7883.962060636266,"259.6207936297298,52.30043157205641",4271039.4926554505
58,1560.0127834475493,7801.311075336538,"259.6424857514431,52.13054589546751",5209312.87635065
59,1374.3080336332878,7717.376345463685,"259.6643481131483,51.958001434538936",4853847.211378472
60,1191.4775499733842,7634.741510485781,"259.6857102368828,51.7881077849071",7852964.766741001
